,OrderID,CustomerName,Email,Product,Quantity,PricePerUnit,OrderDate,City,Country,Total Price
35,36,Cassandra Estes,rodriguezryan@hotmail.com,Mobile,3.0,951.43,1905-06-16,Rome,Italy,2854.29
36,37,Larry Dixon,jonathanfletcher@gmail.com,Smart Watch,3.0,330.87,1905-07-05,Toronto,Canada,992.61
37,38,Kimberly Ball,ryan59@alvarado-martinez.com,Smart Watch,1.0,249.67,1905-06-15,Rome,Italy,249.67
38,39,Jason Powell,jamesortega@yahoo.com,Mobile,1.0,680.66,1905-07-13,London,UK,680.66
39,40,Carrie Carroll,torresjason@hotmail.com,Laptop,1.0,501.38,1905-06-26,London,UK,501.38
40,41,Julie Ramos,yleon@jackson.org,Smart Watch,2.0,703.24,1905-06-30,London,UK,1406.48
41,42,Trevor Young,lindsayherNULLdez@gmail.com,Headphones,2.0,165.29,1905-07-12,Dubai,UAE,330.58
42,43,Miss Patricia Gibson,psnyder@douglas.com,Headphones,,570.48,1905-06-22,Dubai,UAE,
43,44,CHRISTOPHER RUBIO,grantsamantha@gmail.com,Smart Watch,2.0,123.61,1905-06-24,Tokyo,Japan,247.22
44,45,John Schmidt,usalazar@hotmail.com,mobile,2.0,,1905-06-18,Sydney,Australia,
45,46,Kimberly Merritt,pgreen@hotmail.com,Laptop,,945.6,1905-06-17,Toronto,Canada,
46,47,Kelly Sims,sjones@gmail.com,Headphones,2.0,309.29,1905-06-21,Toronto,Canada,618.58
47,48,Steven Miller,patrickherNULLdez@brown.com,Mobile,1.0,612.3,1905-06-17,London,UK,612.3
48,49,ANTONIO WALL,gateskathy@yahoo.com,mobile,,773.17,1905-07-08,Toronto,Canada,
49,50,GUY MOLINA,tracynelson@yahoo.com,Tablet,2.0,792.17,1905-06-19,New York,USA,1584.34
50,51,Renee Morales,robinbradley@edwards.info,Laptop,2.0,814.79,2023-11-16,London,UK,1629.58
51,52,Savannah Garcia,housemelinda@russell.com,Laptop,1.0,856.26,2025-05-30,Dubai,UAE,856.26
52,53,Melissa Peterson,susanrogers@james.com,Tablet,3.0,959.35,2024-11-08,London,UK,2878.05
53,54,CHRISTOPHER RUBIO,grantsamantha@gmail.com,Smart Watch,2.0,123.61,2024-07-17,Tokyo,Japan,247.22
54,55,Kimberly Ball,ryan59@alvarado-martinez.com,Smart Watch,1.0,249.67,2024-08-25,Rome,Italy,249.67
